"","agency","year","department","expense_category","budget_code","budget_name","adopted","modified","encumbered","cash_expense","pre_encumbered","post_adjustment","accrued_expense"
"12409","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","DAY CARE OF CHILDREN","3115","After School Programs","0","0","0","0","0","0","0"
"12410","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","OFFICE EQUIPMENT","3125","TAX LEVY ELECT OFF DISCRET","0","0","0","0","0","0","0"
"12411","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3114","YDDP","0","0","0","0","0","0","0"
"12412","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","MAINT & REP GENERAL","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"12413","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","ED/RECREAT EXP YOUTH PROGRAM","3114","YDDP","0","0","0","0","0","0","0"
"12414","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","ASSIGNMENT DIFFERENTIAL","1500","T L FUNDED LITERACY PROGR","0","0","0","0","0","0","0"
"12415","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PY HOLIDAY PAY","1006","Executive Staff","0","0","0","0","0","0","0"
"12416","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","TELEPHONE & OTHER COMMUNICATNS","3705","WIA AOTPS","0","0","0","0","0","0","0"
"12417","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","OFFICE FURITURE","3705","WIA AOTPS","0","0","0","0","0","0","0"
"12418","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","SUPPLIES + MATERIALS - GENERAL","3705","WIA AOTPS","0","0","0","0","0","0","0"
"12419","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3703","OUT OF SCHOOL YOUTH OPPORTUNITY GRANT","0","0","0","0","0","0","0"
"12420","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3614","YOUTH DEV DELING PROG","0","0","0","0","0","0","0"
"12421","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PRINTING CONTRACTS","3614","YOUTH DEV DELING PROG","0","0","0","0","0","0","0"
"12422","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","OFFICE EQUIPMENT MAINTENANCE","3612","ADMIN OTPS","0","0","0","0","0","0","0"
"12423","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3560","CACFP - FOOD GRANT","0","0","0","0","0","0","0"
"12424","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","3685","TAX LEVY INITIATIVES","0","0","0","0","0","0","0"
"12425","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3552","OST - OPTION   3","0","0","0","0","0","0","0"
"12426","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PROMPT PAYMENT INTEREST","3680","BEACONS","0","0","0","0","0","0","0"
"12427","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","3605","RUNAWAY AOTPS","0","0","0","0","0","0","0"
"12428","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","MOTOR VEHICLE FUEL","3542","OST MSE AOTPS","0","0","0","0","0","0","0"
"12429","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","MAINT & REP GENERAL","3557","Youth Program at NYCHA","0","0","0","0","0","0","0"
"12430","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","TELEPHONE & OTHER COMMUNICATNS","3535","NYCHA Community Services","0","0","0","0","0","0","0"
"12431","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","RENTALS OF MISC.EQUIP","3557","Youth Program at NYCHA","0","0","0","0","0","0","0"
"12432","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","TRAINING CITY EMPLOYEES","3185","TAX LEVY/INITIATIVES","0","0","0","0","0","0","0"
"12433","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","OFFICE EQUIPMENT","3185","TAX LEVY/INITIATIVES","0","0","0","0","0","0","0"
"12434","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","OFFICE FURITURE","3550","OST - OPTION 1","0","0","0","0","0","0","0"
"12435","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PROMPT PAYMENT INTEREST","3180","BEACONS","0","0","0","0","0","0","0"
"12436","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","3174","DEPT OF CULTURAL AFFAIRS","0","0","0","0","0","0","0"
"12437","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","DATA PROCESSING SUPPLIES","3160","Intergrated County Plan","0","0","0","0","0","0","0"
"12438","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3535","NYCHA Community Services","0","0","0","0","0","0","0"
"12439","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","OFFICE EQUIPMENT MAINTENANCE","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"12440","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","OVERNIGHT TRVL EXP-GENERAL","3160","Intergrated County Plan","0","0","0","0","0","0","0"
"12441","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","OFFICE SERVICES","3150","YOUTHLINE","0","0","0","0","0","0","0"
"12442","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","3128","SUMMER BUS PROGRAM","0","0","0","0","0","0","0"
"12443","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PROMPT PAYMENT INTEREST","3114","YDDP","0","0","0","0","0","0","0"
"12444","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PAY FOR SURETY BOND/INSUR PREM","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"12445","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3616","RUNAWAYS","0","0","0","0","0","0","0"
"12446","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","3612","ADMIN OTPS","0","0","0","0","0","0","0"
"12447","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PROMPT PAYMENT INTEREST","3230","CREATIVE ARTS TEAM/CORRECTIONS","0","0","0","0","0","0","0"
"12448","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","TEMPORARY SERVICES","3160","Intergrated County Plan","0","0","0","0","0","0","0"
"12449","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","ALLOWANCES TO PARTICIPANTS","3132","CITY VOLUNTEER CORP","0","0","0","0","0","0","0"
"12450","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-SPECIAL","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"12451","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","OFFICE SERVICES","3698","CEO -  Service  Learning Initiatives","0","0","0","0","0","0","0"
"12452","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","SUPPLIES + MATERIALS - GENERAL","3685","TAX LEVY INITIATIVES","0","0","0","0","0","0","0"
"12453","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3628","BUS PROGRAM","0","0","0","0","0","0","0"
"12454","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","COMMUNITY CONSULTANT CONTRACTS","3682","CEO Bridge Transfer","0","0","0","0","0","0","0"
"12455","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PAY FOR SURETY BOND/INSUR PREM","3680","BEACONS","0","0","0","0","0","0","0"
"12456","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OVERNIGHT TRVL EXP-SPECIAL","9905","CSBG","0","0","0","0","0","0","0"
"12457","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","RENTALS OF MISC.EQUIP","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12458","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PAY FOR SURETY BOND/INSUR PREM","3614","YOUTH DEV DELING PROG","0","0","0","0","0","0","0"
"12459","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","MAINT & REP OF MOTOR VEH EQUIP","3612","ADMIN OTPS","10000","0","0","0","0","0","0"
"12460","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","EQUIPMENT GENERAL","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12461","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","CLEANING SUPPLIES","3612","ADMIN OTPS","0","0","0","0","0","0","0"
"12462","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","JUDGEMENTS AND CLAIMS","3612","ADMIN OTPS","0","0","0","0","0","0","0"
"12463","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","TRAINING CITY EMPLOYEES","9855","ADULT ED","0","0","0","0","0","0","0"
"12464","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","3600","NYC Service Event","0","0","0","0","0","0","0"
"12465","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PROF SERV DIRECT EDUC SERV","3550","OST - OPTION 1","0","0","0","0","0","0","0"
"12466","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","MAINT & REP GENERAL","3612","ADMIN OTPS","2000","0","0","0","0","0","0"
"12467","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","TELECOMMUNICATIONS EQUIPMENT","9815","ADULT LITERACY","0","0","0","0","0","0","0"
"12468","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROF SERV DIRECT EDUC SERV","9807","ADOLESCENT DATING VIOLENCE GRANT","0","0","0","0","0","0","0"
"12469","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3546","OST DOE Expansion","0","0","0","0","0","0","0"
"12470","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","RENTALS - LAND BLDGS & STRUCTS","3612","ADMIN OTPS","0","0","0","0","0","0","0"
"12471","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROF SERV COMPUTER SERVICES","9807","ADOLESCENT DATING VIOLENCE GRANT","0","0","0","0","0","0","0"
"12472","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3542","OST MSE AOTPS","0","0","0","0","0","0","0"
"12473","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","RENTAL-DATA PROCESSING EQUIP","3612","ADMIN OTPS","0","0","0","0","0","0","0"
"12474","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","ALLOWANCES TO PARTICIPANTS","9807","ADOLESCENT DATING VIOLENCE GRANT","0","0","0","0","0","0","0"
"12475","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","SUPPLIES + MATERIALS - GENERAL","3535","NYCHA Community Services","0","0","0","0","0","0","0"
"12476","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","TELEPHONE & OTHER COMMUNICATNS","3612","ADMIN OTPS","2200","0","0","0","0","0","0"
"12477","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3190","BEACONS/ACS","0","0","0","0","0","0","0"
"12478","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OFFICE EQUIPMENT MAINTENANCE","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12479","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","TELEPHONE & OTHER COMMUNICATNS","3605","RUNAWAY AOTPS","0","0","0","0","0","0","0"
"12480","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","MOTOR VEHICLE FUEL","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12481","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3550","OST - OPTION 1","0","0","0","0","0","0","0"
"12482","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PAYROLL REFUND","3155","ADMINISTRATION","0","0","0","0","0","0","0"
"12483","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","TRAINING CITY EMPLOYEES","3150","YOUTHLINE","0","0","0","0","0","0","0"
"12484","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3125","TAX LEVY ELECT OFF DISCRET","0","0","0","0","0","0","0"
"12485","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3160","Intergrated County Plan","0","0","0","0","0","0","0"
"12486","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PRINTING CONTRACTS","9916","Toyota Family Literacy Program","0","0","0","0","0","0","0"
"12487","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","TRAINING CITY EMPLOYEES","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"12488","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","ADVERTISING","3160","Intergrated County Plan","0","0","0","0","0","0","0"
"12489","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PROF SERV ACCTING & AUDITING","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"12490","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PURCH DATA PROCESSING EQUIPT","9914","ADULT LITERACY EXPANSION","0","0","0","0","0","0","0"
"12491","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","OTPS HOLDING CODE","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"12492","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","MAINT & OPER OF INFRASTRUCTURE","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"12493","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","JTPA-WAGES","9905","CSBG","0","0","0","0","0","0","0"
"12494","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","CLEANING SERVICES","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"12495","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","BOOKS-OTHER","9905","CSBG","0","0","0","0","0","0","0"
"12496","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12497","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","MOTOR VEHICLE FUEL","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12498","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","NON OVERNIGHT TRVL EXP-SPECIAL","9895","Family Develop.Assn NY","0","0","0","0","0","0","0"
"12499","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PURCH DATA PROCESSING EQUIPT","9870","ELDERLY REFUGEE PROJECT","0","0","0","0","0","0","0"
"12500","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","9855","ADULT ED","0","0","0","0","0","0","0"
"12501","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","NON OVERNIGHT TRVL EXP-SPECIAL","9805","COMMUNITY ACTION","0","0","0","0","0","0","0"
"12502","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OVERNIGHT TRVL EXP-SPECIAL","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12503","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OFFICE FURITURE","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12504","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","NON OVERNIGHT TRVL EXP-SPECIAL","9704","COMMUNITY ACTION PROGRAM AOTPS","0","0","0","0","0","0","0"
"12505","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","TRANSPORTATION EXPENDITURES","4199","AOTPS-IC","0","0","0","0","0","0","0"
"12506","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","POSTAGE","4199","AOTPS-IC","0","0","0","0","0","0","0"
"12507","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","TEMPORARY SERVICES","4198","AOTPS","1000","0","0","0","0","0","0"
"12508","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PRINTING CONTRACTS","4198","AOTPS","19000","0","0","0","0","0","0"
"12509","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","OVERTIME","5500","FEDERAL ADULT EDUCATION ACT","0","0","0","0","0","0","0"
"12510","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","FULL YEAR POSITIONS","3500","EDGE","0","0","0","0","0","0","0"
"12511","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","REGULAR GROSS HOLDING CODE","3198","CITIZENSHIP N Y C","0","0","0","0","0","0","0"
"12512","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PY HOLIDAY PAY","2500","CAP VERSATILE PROGRAM","0","0","0","0","0","0","0"
"12513","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","BACKPAY - PRIOR YEARS","2006","Support Staff","0","0","0","16354.71","0","0","0"
"12514","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PY ASSIGNMENT DIFFERENTIAL","1500","T L FUNDED LITERACY PROGR","0","0","0","0","0","0","0"
"12515","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES GENERAL","9916","Toyota Family Literacy Program","0","0","0","0","0","0","0"
"12516","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","BOOKS-OTHER","9916","Toyota Family Literacy Program","0","0","0","0","0","0","0"
"12517","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","BOOKS-OTHER","9915","ADULT ED ACT","0","0","0","0","0","0","0"
"12518","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9898","PRIOR YEAR EXPENSE 1998","0","0","0","0","0","0","0"
"12519","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","RENTALS OF MISC.EQUIP","9895","Family Develop.Assn NY","0","0","0","0","0","0","0"
"12520","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROF SERV ACCTING & AUDITING","9870","ELDERLY REFUGEE PROJECT","0","0","0","0","0","0","0"
"12521","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROMPT PAYMENT INTEREST","9865","HEAP XVIII","0","0","0","0","0","0","0"
"12522","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROMPT PAYMENT INTEREST","9855","ADULT ED","0","0","0","0","0","0","0"
"12523","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROF SERV ACCTING & AUDITING","9855","ADULT ED","0","0","0","0","0","0","0"
"12524","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","TELECOMMUNICATIONS EQUIPMENT","9855","ADULT ED","0","0","0","0","0","0","0"
"12525","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12526","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","TRANSPORTATION EXPENDITURES","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12527","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","COMMUNITY CONSULTANT CONTRACTS","9825","BORO NEEDS","0","0","0","0","0","0","0"
"12528","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","SUPPLIES + MATERIALS - GENERAL","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12529","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PURCH DATA PROCESSING EQUIPT","9704","COMMUNITY ACTION PROGRAM AOTPS","0","0","0","0","0","0","0"
"12530","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","SECURITY EQUIPMENT","4198","AOTPS","0","0","0","0","0","0","0"
"12531","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","2803","Met Council: Domestic Violence Prev.","0","0","0","0","0","0","0"
"12532","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PAYROLL REFUND","6500","HEAP VII (CDA)","0","0","0","0","0","0","0"
"12533","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PY OVERTIME","5500","FEDERAL ADULT EDUCATION ACT","0","0","0","0","0","0","0"
"12534","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PY EARLY RET. TERMINAL LEAVE..","2500","CAP VERSATILE PROGRAM","0","0","0","0","0","0","0"
"12535","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","SHIFT DIFFERENTIAL","2500","CAP VERSATILE PROGRAM","0","0","0","0","0","0","0"
"12536","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROF SERV ACCTING & AUDITING","9905","CSBG","0","0","0","0","0","0","0"
"12537","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OVERNIGHT TRVL EXP-SPECIAL","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12538","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","TELECOMMUNICATIONS EQUIPMENT","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12539","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OFFICE SERVICES","9855","ADULT ED","0","0","0","0","0","0","0"
"12540","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","DATA PROCESSING SUPPLIES","9855","ADULT ED","0","0","0","0","0","0","0"
"12541","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9815","ADULT LITERACY","0","0","0","0","0","0","0"
"12542","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","FIXED CHARGES - GENERAL","9805","COMMUNITY ACTION","0","0","0","0","0","0","0"
"12543","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROF SERV COMPUTER SERVICES","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12544","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OFFICE EQUIPMENT MAINTENANCE","9704","COMMUNITY ACTION PROGRAM AOTPS","0","0","0","0","0","0","0"
"12545","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","ADVERTISING","9704","COMMUNITY ACTION PROGRAM AOTPS","0","0","0","0","0","0","0"
"12546","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","NON OVERNIGHT TRVL EXP-GENERAL","4199","AOTPS-IC","0","0","0","0","0","0","0"
"12547","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","BOOKS-OTHER","4199","AOTPS-IC","0","0","0","0","0","0","0"
"12548","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","DATA PROCESSING EQUIPMENT","4198","AOTPS","0","0","0","0","0","0","0"
"12549","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OVERNIGHT TRVL EXP-SPECIAL","4198","AOTPS","0","0","0","0","0","0","0"
"12550","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","4198","AOTPS","0","0","0","0","0","0","0"
"12551","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","FULL YEAR POSITIONS","7500","COMMUNITY SERVICES CONTRACT AD","0","0","0","0","0","0","0"
"12552","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","FULL YEAR POSITIONS","3198","CITIZENSHIP N Y C","0","0","0","0","0","0","0"
"12553","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PART-TIME POSITIONS","2500","CAP VERSATILE PROGRAM","0","0","0","0","0","0","0"
"12554","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROF SERV COMPUTER SERVICES","9915","ADULT ED ACT","0","0","0","0","0","0","0"
"12555","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","COMMUNITY CONSULTANT CONTRACTS","9905","CSBG","0","0","0","0","0","0","0"
"12556","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PRINTING CONTRACTS","9905","CSBG","0","0","0","0","0","0","0"
"12557","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PRINTING CONTRACTS","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12558","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","ADVERTISING","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12559","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","TELEPHONE & OTHER COMMUNICATNS","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12560","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","MAINTENANCE SUPPLIES","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12561","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OVERNIGHT TRVL EXP-SPECIAL","9895","Family Develop.Assn NY","0","0","0","0","0","0","0"
"12562","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","9870","ELDERLY REFUGEE PROJECT","0","0","0","0","0","0","0"
"12563","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","DATA PROCESSING EQUIPMENT","9855","ADULT ED","0","0","0","0","0","0","0"
"12564","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES GENERAL","9807","ADOLESCENT DATING VIOLENCE GRANT","0","0","0","0","0","0","0"
"12565","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","FOOD & FORAGE SUPPLIES","3550","OST - OPTION 1","0","0","0","0","0","0","0"
"12566","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OVERNIGHT TRVL EXP-SPECIAL","9807","ADOLESCENT DATING VIOLENCE GRANT","0","0","0","0","0","0","0"
"12567","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","NON OVERNIGHT TRVL EXP-GENERAL","9807","ADOLESCENT DATING VIOLENCE GRANT","0","0","0","0","0","0","0"
