"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"4528","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2015","2015","6919608","9245042","2025466.62","Collected Revenue"
"4529","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","10270814","10270814","1968725.66","Collected Unearned Revenue Roll"
"4530","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","10270814","10949757","1964670.92","Collected Revenue"
"4531","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","10270814","10949757","1964670.92","Billed Revenue"
"4532","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","20551332","18632772","1873716.64","Collected Revenue"
"4533","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","20551332","20551332","1873716.64","Billed Revenue"
"4534","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","10270814","10270814","1751209.37","Collected Unearned Revenue Roll"
"4535","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","18849277","19971484","1736530.33","Collected Revenue"
"4536","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","18849277","19971484","1736530.33","Billed Revenue"
"4537","Department for the Aging","Federal Grants-Categorical","MEDICAL ASSISTANCE PROGRAM","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","0","0","1700000","Collected Unearned Revenue Roll"
"4538","Department for the Aging","State Grants-Categorical","Long Term Care & Support for the Elderly","General Fund","STATE","AGING","2015","2015","0","86768","1700000","Collected Unearned Revenue Roll"
"4539","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","8414440","10326078","1621393.05","Collected Revenue"
"4540","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","8414440","10326078","1621393.05","Billed Revenue"
"4541","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2015","2015","6919608","6919608","1577049.33","Collected Unearned Revenue Roll"
"4542","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","18849277","19971484","1518212.02","Collected Revenue"
"4543","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","18849277","19971484","1518212.02","Billed Revenue"
"4544","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","8414440","8414440","1272525.66","Collected Unearned Revenue Roll"
"4545","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","18849277","19971484","1223906.14","Collected Revenue"
"4546","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","18849277","19971484","1223906.14","Billed Revenue"
"4547","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","8414440","8414440","1223710.15","Collected Revenue"
"4548","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","8414440","8414440","1223710.15","Billed Revenue"
"4549","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","4122160","4122160","1188975.86","Collected Unearned Revenue Roll"
"4550","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2015","2015","6919608","6919608","1187374.12","Collected Unearned Revenue Roll"
"4551","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","18849277","19971484","1100874.26","Collected Revenue"
"4552","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","18849277","18849277","1100874.26","Billed Revenue"
"4553","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","10270814","10949757","1071385.77","Collected Revenue"
"4554","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","10270814","10949757","1071385.77","Billed Revenue"
"4555","Department for the Aging","Federal Grants-Categorical","TITLE E - CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","4122160","3890406","1055315.06","Collected Revenue"
"4556","Department for the Aging","Federal Grants-Categorical","TITLE E - CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","4122160","3890406","1055315.06","Billed Revenue"
"4557","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","8414440","8414440","1004853.83","Collected Unearned Revenue Roll"
"4558","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","8414440","8414440","1000210.88","Collected Revenue"
"4559","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","8414440","8414440","1000210.88","Billed Revenue"
"4560","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","8414440","8414440","999135.17","Collected Revenue"
"4561","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","8414440","8414440","999135.17","Billed Revenue"
"4562","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2015","2015","18546806","18546806","910425.45","Collected Revenue"
"4563","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2015","2015","18546806","18546806","910425.45","Billed Revenue"
"4564","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","8414440","8414440","884464.13","Collected Unearned Revenue Roll"
"4565","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","18849277","19971484","862433.29","Collected Revenue"
"4566","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","18849277","19971484","862433.29","Billed Revenue"
"4567","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","8414440","8414440","820846.65","Collected Revenue"
"4568","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","8414440","8414440","820846.65","Billed Revenue"
"4569","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2015","2015","4002601","3544136","708206.75","Collected Revenue"
"4570","Department for the Aging","Federal Grants-Categorical","MEDICAL ASSISTANCE PROGRAM","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","702990","1173232","708206.75","Collected Unearned Revenue Roll"
"4571","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2015","2015","4002601","3466189","708206.75","Billed Revenue"
"4572","Department for the Aging","Federal Grants-Categorical","TITLE E - CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","4122160","3890406","697372.02","Collected Revenue"
"4573","Department for the Aging","Federal Grants-Categorical","TITLE E - CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","4122160","3890406","697372.02","Billed Revenue"
"4574","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","20551332","18632772","661357.71","Billed Revenue"
"4575","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","20551332","18632772","661357.71","Accounts Left In Old Year"
"4576","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2015","2015","4002601","4002601","659240.79","Collected Revenue"
"4577","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2015","2015","6919608","6919608","659240.79","Collected Unearned Revenue Roll"
"4578","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2015","2015","4002601","4002601","659240.79","Billed Revenue"
"4579","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","18849277","19971484","634836.62","Collected Revenue"
"4580","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2015","2015","6919608","7229942","634836.62","Collected Unearned Revenue Roll"
"4581","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","18849277","19971484","634836.62","Billed Revenue"
"4582","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2015","2015","4002601","3544136","596065.76","Collected Revenue"
"4583","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2015","2015","4002601","3486087","596065.76","Billed Revenue"
"4584","Department for the Aging","Federal Grants-Categorical","TITLE E - CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","4122160","3636157","589673.46","Collected Revenue"
"4585","Department for the Aging","Federal Grants-Categorical","TITLE E - CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","4122160","3636157","589673.46","Billed Revenue"
"4586","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","8414440","8414440","587959.45","Collected Revenue"
"4587","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","8414440","8414440","587959.45","Billed Revenue"
"4588","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2015","2016","4002601","3544136","584680.17","Collected Revenue"
"4589","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2015","2015","4002601","3544136","584680.17","Billed Revenue"
"4590","Department for the Aging","Federal Grants-Categorical","TITLE E - CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","4122160","3890406","561012.52","Collected Revenue"
"4591","Department for the Aging","Federal Grants-Categorical","HEALTH INSURANCE ASSISTANCE PM","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","583746","583746","561012.52","Collected Unearned Revenue Roll"
"4592","Department for the Aging","Federal Grants-Categorical","TITLE-E CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","4122160","3890406","561012.52","Billed Revenue"
"4593","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","8414440","10326078","535152.46","Unbilled Revenue"
"4594","Department for the Aging","Federal Grants-Categorical","TITLE E - CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","4122160","3890406","535023.4","Collected Revenue"
"4595","Department for the Aging","Federal Grants-Categorical","TITLE E - CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","4122160","3890406","535023.4","Billed Revenue"
"4596","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2015","2015","4002601","4002601","519402.07","Collected Revenue"
"4597","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2015","2015","4002601","4002601","519402.07","Billed Revenue"
"4598","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","10270814","10949757","487575.52","Collected Revenue"
"4599","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","10270814","10949757","487575.52","Billed Revenue"
"4600","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2015","2015","18546806","18220483","480995.91","Billed Revenue"
"4601","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2015","2015","4002601","3466189","476540.46","Collected Revenue"
"4602","Department for the Aging","Federal Grants-Categorical","TITLE V SEN COM SER EMP PROGM.","General Fund","FEDERAL - OTHER","LABOR","2015","2015","4002601","3466189","476540.46","Billed Revenue"
"4603","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2015","2015","1631643","1617485","460201","Collected Revenue"
"4604","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2015","2015","1631643","1617485","460201","Collected Unearned Revenue Roll"
"4605","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2015","2015","1631643","1617485","460201","Billed Revenue"
"4606","Department for the Aging","Federal Grants-Categorical","TITLE III, PART B: SUPPORTIVE SERVICES A","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","10270814","10949757","452900.96","Unbilled Revenue"
"4607","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2015","2015","6919608","7229942","440181.22","Collected Revenue"
"4608","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2015","2015","6919608","6919608","440181.22","Billed Revenue"
"4609","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2015","2016","1631643","1617485","428499","Collected Revenue"
"4610","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2015","2015","1631643","1617485","428499","Billed Revenue"
"4611","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2015","2015","1631643","1617485","411051","Collected Unearned Revenue Roll"
"4612","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","18849277","19971484","400817.22","Collected Revenue"
"4613","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","18849277","19971484","400817.22","Billed Revenue"
"4614","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2015","2015","1631643","1617485","393278","Collected Revenue"
"4615","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2015","2015","1631643","1617485","393278","Collected Unearned Revenue Roll"
"4616","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2015","2015","1631643","1617485","393278","Billed Revenue"
"4617","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2015","2016","18546806","18211518","387342.91","Collected Revenue"
"4618","Department for the Aging","State Grants-Categorical","Direct Care Workers Program","General Fund","STATE","AGING","2015","2017","0","357408","357408","Accounts Left In Old Year"
"4619","Department for the Aging","State Grants-Categorical","Direct Care Workers Program","General Fund","STATE","AGING","2015","2015","0","357408","357408","Unbilled Revenue"
"4620","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2015","2015","6919608","6919608","340876.16","Collected Unearned Revenue Roll"
"4621","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2015","2015","1631643","1617485","335507","Collected Revenue"
"4622","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2015","2015","1631643","1617485","335507","Collected Unearned Revenue Roll"
"4623","Department for the Aging","Federal Grants-Categorical","FOSTER GRANDPARENT GRANT","General Fund","FEDERAL - OTHER","COMM ON NATIONAL+COMMUNITY","2015","2015","1631643","1617485","335507","Billed Revenue"
"4624","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","20551332","20551332","327656","Collected Unearned Revenue Roll"
"4625","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","18849277","19971484","325988.08","Unbilled Revenue"
"4626","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","20551332","20551332","317407.71","Billed Revenue"
"4627","Department for the Aging","Federal Grants-Categorical","TITLE 3D HEALTH PROMOTION","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","667026","667026","308662.92","Collected Revenue"
"4628","Department for the Aging","Federal Grants-Categorical","TITLE 3D HEALTH PROMOTION","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","667026","667026","308662.92","Billed Revenue"
"4629","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2015","2016","18546806","18211518","276207.23","Collected Revenue"
"4630","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2015","2015","18546806","18211518","276207.23","Billed Revenue"
"4631","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","18849277","19971484","252335.15","Collected Revenue"
"4632","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","18849277","19971484","252335.15","Billed Revenue"
"4633","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2015","2015","6919608","6919608","251806.97","Collected Unearned Revenue Roll"
"4634","Department for the Aging","Federal Grants-Categorical","HEALTH INSURANCE ASSISTANCE PM","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","583746","583746","247596.97","Collected Unearned Revenue Roll"
"4635","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","8414440","10326078","239424.86","Accounts Left In Old Year"
"4636","Department for the Aging","State Grants-Categorical","TRANSPORTATION AID","General Fund","STATE","EDUCATION","2015","2015","331028","395804","238664.43","Collected Revenue"
"4637","Department for the Aging","State Grants-Categorical","TRANSPORTATION AID","General Fund","STATE","EDUCATION","2015","2015","331028","395804","238664.43","Billed Revenue"
"4638","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2015","2015","6919608","7229942","235490.99","Collected Unearned Revenue Roll"
"4639","Department for the Aging","CHARGES FOR SERVICES","EDUCATION SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2015","2015","0","740140","232398.54","Collected Revenue"
"4640","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","18849277","19971484","231117.06","Unbilled Revenue"
"4641","Department for the Aging","Federal Grants-Categorical","TITLE VII ELDER ABUSE PRVNTION","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","222872","321342","204851.59","Unbilled Revenue"
"4642","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2015","2015","6919608","6919608","204851.59","Collected Unearned Revenue Roll"
"4643","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2015","2016","6919608","9125260","200522.79","Collected Revenue"
"4644","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2015","2015","6919608","9125260","200522.79","Billed Revenue"
"4645","Department for the Aging","Federal Grants-Categorical","TITLE E - CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","4122160","3636157","197760.56","Collected Revenue"
"4646","Department for the Aging","Federal Grants-Categorical","TITLE E - CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","4122160","3636157","197760.56","Billed Revenue"
"4647","Department for the Aging","Federal Grants-Categorical","TITLE E - CAREGIVER SUPPORT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","4122160","3636157","197760.56","Unbilled Revenue"
"4648","Department for the Aging","CHARGES FOR SERVICES","EDUCATION SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2015","2015","0","740140","193063.48","Collected Revenue"
"4649","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2015","2015","10509762","10758592","183845.78","Collected Revenue"
"4650","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2015","2015","10509762","10758592","183845.78","Collected Unearned Revenue Roll"
"4651","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2015","2015","10509762","10509762","183845.78","Billed Revenue"
"4652","Department for the Aging","Federal Grants-Categorical","TITLE VII ELDER ABUSE PRVNTION","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","222872","321342","177924","Collected Revenue"
"4653","Department for the Aging","Federal Grants-Categorical","TITLE VII ELDER ABUSE PRVNTION","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","222872","321342","177924","Billed Revenue"
"4654","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2015","2015","10509762","10848826","170791.29","Billed Revenue"
"4655","Department for the Aging","Federal Grants-Categorical","HEALTH INSURANCE ASSISTANCE PM","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","583746","560891","170601.62","Collected Revenue"
"4656","Department for the Aging","Federal Grants-Categorical","HEALTH INSURANCE ASSISTANCE PM","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","583746","560891","170601.62","Billed Revenue"
"4657","Department for the Aging","CHARGES FOR SERVICES","EDUCATION SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2015","2015","0","740140","163970.57","Collected Revenue"
"4658","Department for the Aging","MISCELLANEOUS","SUNDRIES","General Fund","CITY FUNDS","MISCELLANEOUS","2015","2015","1000000","1000000","160795","Collected Revenue"
"4659","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","8414440","10326078","151571.6","Collected Revenue"
"4660","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","8414440","10326078","151571.6","Billed Revenue"
"4661","Department for the Aging","CHARGES FOR SERVICES","EDUCATION SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2015","2015","0","740140","150409.83","Collected Revenue"
"4662","Department for the Aging","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2015","2015","300000","300000","139217.13","Collected Revenue"
"4663","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","8414440","10326078","136324.4","Collected Revenue"
"4664","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","8414440","10326078","136324.4","Billed Revenue"
"4665","Department for the Aging","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2015","2015","19656","834615","126183.75","Collected Revenue"
"4666","Department for the Aging","Federal Grants-Categorical","HEALTH INSURANCE ASSISTANCE PM","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","583746","583746","120618.06","Collected Revenue"
"4667","Department for the Aging","Federal Grants-Categorical","HEALTH INSURANCE ASSISTANCE PM","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","583746","583746","120618.06","Billed Revenue"
"4668","Department for the Aging","Federal Grants-Categorical","HEALTH INSURANCE ASSISTANCE PM","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","583746","583746","120250.42","Collected Unearned Revenue Roll"
"4669","Department for the Aging","Federal Grants-Categorical","TITLE 3D HEALTH PROMOTION","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","667026","667026","113815.08","Collected Revenue"
"4670","Department for the Aging","Federal Grants-Categorical","TITLE 3D HEALTH PROMOTION","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","667026","667026","113815.08","Billed Revenue"
"4671","Department for the Aging","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2015","2015","19656","1195324","112901.25","Collected Revenue"
"4672","Department for the Aging","Federal Grants-Categorical","HEALTH INSURANCE ASSISTANCE PM","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","583746","560891","111252.05","Collected Revenue"
