"Adopted","Agency","Budget Fiscal Year","Closing Classification Name","Fiscal Year","Fund Class","Funding Class","Modified","Recognized","Revenue Category","Revenue Class","Revenue Source"\
788059843.00,Mayoralty,2016,Unbilled Revenue,2017,General Fund,FEDERAL - CD,676718140.00,-201136.54,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,CDBG-Disaster Recovery
13672815.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2017,General Fund,STATE,12606865.00,-201181.00,State Grants-Categorical,SOCIAL SERVICES,MEDICAL ASSISTANCE ADMINISTRAT
0.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,0.00,-201232.00,Federal Grants-Categorical,EDUCATION,Investing in innovation (i3) Fund
0.00,Mayoralty,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-201389.13,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
3439000.00,Office of the Comptroller,2016,Collected Revenue,2016,General Fund,CITY FUNDS,3439000.00,-201389.13,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
0.00,Mayoralty,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-201389.13,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
3439000.00,Office of the Comptroller,2016,Collected Revenue,2016,General Fund,CITY FUNDS,3439000.00,-201389.13,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
0.00,Mayoralty,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-201389.13,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
0.00,Mayoralty,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-201389.13,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
0.00,Mayoralty,2016,Collected Unearned Revenue Roll,2016,General Fund,CITY FUNDS,0.00,-201402.12,TAXES,GENERAL PROPERTY TAXES,REAL PROP TAX HOLDING CODE
8997809.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,9326742.00,-201457.81,Federal Grants-Categorical,Health and Human Services,IMMUNIZATION PROGRAM
679101123.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,679101123.00,-201476.00,Federal Grants-Categorical,EDUCATION,ECIA TITLE I
6202882.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,6718626.00,-201628.78,Federal Grants-Categorical,Health and Human Services,VENEREAL DISEASE CONTROL
21011386.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,21011386.00,-201631.00,Federal Grants-Categorical,EDUCATION,COMMUNITY LEARNING CENTERS
3000000.00,Department of Homeless Services,2016,Billed Revenue,2017,General Fund,OTHER CATEGORICAL,3000000.00,-201759.45,Non-Governmental Grants,NONGOVT GRANTS-OTHER,NON-GOVERNMENTAL GRANTS
0.00,Mayoralty,2016,Collected Unearned Revenue Roll,2016,General Fund,CITY FUNDS,0.00,-201814.01,TAXES,GENERAL PROPERTY TAXES,REAL PROP TAX HOLDING CODE
30000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,30000000.00,-201827.00,Federal Grants-Categorical,EDUCATION,TITLE I GRANTS TO LOCAL EDUCATIONAL AGCS
4500000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,4012690000.00,-201869.92,TAXES,INCOME TAXES,GENERAL CORPORATION TAX
915000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,915000000.00,-201940.20,TAXES,OTHER SALES AND USE TAX,MORTGAGE TAX
915000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,915000000.00,-201940.20,TAXES,OTHER SALES AND USE TAX,MORTGAGE TAX
0.00,Administration for Children's Services,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,19225285.00,-201986.00,Federal Grants-Categorical,Health and Human Services,FOSTER CARE TITLE IV-E
41500291.00,Department of Social Services,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,41521048.00,-202056.00,Federal Grants-Categorical,Health and Human Services,MEDICAL ASSISTANCE PROGRAM
0.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,0.00,-202078.07,MISCELLANEOUS,MISCELLANEOUS,N.G. CHECKS
0.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2016,General Fund,STATE,3369312.00,-202101.00,State Grants-Categorical,SOCIAL SERVICES,MEDICAID-HEALTH & MEDICAL CARE
0.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,0.00,-202106.73,TAXES,GENERAL PROPERTY TAXES,REAL PROP TAX 2ND YEAR
10866755.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,10944906.00,-202163.90,Federal Grants-Categorical,Health and Human Services,Hospital Preparedness Program (HPP) and Public Health Emerge
0.00,Mayoralty,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-202235.13,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
-29000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,-29000000.00,-202250.77,TAXES,OTHER TAXES,REFUNDS OF ALL OTHER TAXES
-29000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,-29000000.00,-202250.77,TAXES,OTHER TAXES,REFUNDS OF ALL OTHER TAXES
0.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,0.00,-202274.41,MISCELLANEOUS,MISCELLANEOUS,N.G. CHECKS
0.00,Department of Education,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-202326.00,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
18691458.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,18691458.00,-202326.00,Federal Grants-Categorical,Health and Human Services,SUBSTANCE ABUSE PREVENTION & TREATMENT
0.00,Department of Education,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-202326.00,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
18691458.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,18691458.00,-202326.00,Federal Grants-Categorical,Health and Human Services,SUBSTANCE ABUSE PREVENTION & TREATMENT
0.00,Department of Health and Mental Hygiene,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-202326.00,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
0.00,Department of Health and Mental Hygiene,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-202326.00,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
0.00,Department of Homeless Services,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-202349.00,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
0.00,Department of Homeless Services,2016,Collected Revenue,2016,General Fund,CITY FUNDS,0.00,-202349.00,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
6234046.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,8894270.00,-202359.78,Federal Grants-Categorical,Health and Human Services,OCCUPATIONAL SAFETY AND HEALTH PROGRAM
4500000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,4500000000.00,-202367.00,TAXES,INCOME TAXES,GENERAL CORPORATION TAX
66327083.00,Department of Social Services,2016,Collected Revenue,2017,General Fund,STATE,89909665.00,-202441.00,State Grants-Categorical,SOCIAL SERVICES,MEDICAID-HEALTH & MEDICAL CARE
66327083.00,Department of Social Services,2016,Billed Revenue,2016,General Fund,STATE,89909665.00,-202441.00,State Grants-Categorical,SOCIAL SERVICES,MEDICAID-HEALTH & MEDICAL CARE
66327083.00,Department of Social Services,2016,Billed Revenue,2017,General Fund,STATE,89909665.00,-202441.00,State Grants-Categorical,SOCIAL SERVICES,MEDICAID-HEALTH & MEDICAL CARE
69622126.00,Department of Social Services,2016,Billed Revenue,2016,General Fund,STATE,69622126.00,-202441.00,State Grants-Categorical,SOCIAL SERVICES,WORK NOW
0.00,Department of Social Services,2016,Collected Unearned Revenue Roll,2017,General Fund,OTHER CATEGORICAL,150000.00,-202641.55,Non-Governmental Grants,NONGOVT GRANTS-OTHER,NON-GOVERNMENTAL GRANTS
0.00,Department of Social Services,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,520000.00,-202641.55,Federal Grants-Categorical,Health and Human Services,MEDICAL ASSISTANCE PROGRAM
264795984.00,Administration for Children's Services,2016,Collected Unearned Revenue Roll,2022,General Fund,STATE,274712970.00,-202703.00,State Grants and Contracts-Categorical,SOCIAL SERVICES,STATE PREVENTIVE SERVICES
0.00,Administration for Children's Services,2016,Collected Unearned Revenue Roll,2022,General Fund,STATE,0.00,-202703.00,State Grants and Contracts-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
3000000.00,Department of Homeless Services,2016,Billed Revenue,2018,General Fund,OTHER CATEGORICAL,3000000.00,-202776.11,Non-Governmental Grants,NONGOVT GRANTS-OTHER,NON-GOVERNMENTAL GRANTS
0.00,Fire Department,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,2538202.00,-202809.68,Federal Grants-Categorical,DEPARTMENT of  HOMELAND SECURITY,PORT SECURITY
0.00,Department of Transportation,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-202880.58,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
6199863.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,6016342.00,-202898.74,Federal Grants-Categorical,Health and Human Services,TUBERCULOSIS CONTROL PROGRAM
97887577.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2016,General Fund,STATE,133798889.00,-202907.03,State Grants-Categorical,HEALTH,EARLY INTERVENTION SERVICES
97887577.00,Department of Health and Mental Hygiene,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,133798889.00,-202907.03,State Grants-Categorical,HEALTH,EARLY INTERVENTION SERVICES
0.00,Department of Health and Mental Hygiene,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-202907.03,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
2129000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,2117000000.00,-202940.00,TAXES,INCOME TAXES,UNINCORPORATED BUSINESS INC TX
9114672.00,Office of the Comptroller,2016,Billed Revenue,2017,General Fund,OTHER CATEGORICAL,9129189.00,-203165.00,Non-Governmental Grants,NONGOVT GRANTS-OTHER,PRIVATE GRANTS
50000000.00,Department of Education,2016,Collected Unearned Revenue Roll,2016,General Fund,OTHER CATEGORICAL,50000000.00,-203244.95,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
50000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,50000000.00,-203244.95,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
3000000.00,Department of Homeless Services,2016,Billed Revenue,2017,General Fund,OTHER CATEGORICAL,3000000.00,-203334.30,Non-Governmental Grants,NONGOVT GRANTS-OTHER,NON-GOVERNMENTAL GRANTS
3000000.00,Department of Homeless Services,2016,Billed Revenue,2017,General Fund,OTHER CATEGORICAL,3000000.00,-203334.30,Non-Governmental Grants,NONGOVT GRANTS-OTHER,NON-GOVERNMENTAL GRANTS
0.00,Department of Health and Mental Hygiene,2016,Unbilled Revenue,2018,General Fund,FEDERAL - OTHER,1169352.00,-203356.00,Federal Grants and Contracts-Categorical,DEPARTMENT of  HOMELAND SECURITY,FEMA Sandy E Buildings and Equipment
206642212.00,Department of Transportation,2016,Collected Revenue,2016,General Fund,CITY FUNDS,206642212.00,-203370.50,CHARGES FOR SERVICES,GENERAL GOVERNMENTAL CHARGES,PARKING METER REVENUES
18691458.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,18691458.00,-203661.00,Federal Grants-Categorical,Health and Human Services,SUBSTANCE ABUSE PREVENTION & TREATMENT
0.00,Department of Education,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-203661.00,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
0.00,Department of Health and Mental Hygiene,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-203661.00,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
0.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,0.00,-203718.52,TAXES,INCOME TAXES,Business Tax Suspense Account
50000000.00,Department of Education,2016,Billed Revenue,2017,General Fund,OTHER CATEGORICAL,50000000.00,-203850.00,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
0.00,Department of Transportation,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-203914.67,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
-477000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,-477000000.00,-204057.57,TAXES,INCOME TAXES,REFUNDS OF GENERAL CORP TAX
-477000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,-477000000.00,-204057.57,TAXES,INCOME TAXES,REFUNDS OF GENERAL CORP TAX
13683590.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,12617640.00,-204183.00,Federal Grants-Categorical,Health and Human Services,MEDICAL ASSISTANCE PROGRAM
0.00,Department of Parks and Recreation,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,226981.00,-204282.00,Federal Grants-Categorical,DEPARTMENT of  HOMELAND SECURITY,FEMA Sandy A Debris Removal
788059843.00,Mayoralty,2016,Billed Revenue,2016,General Fund,FEDERAL - CD,1299135421.00,-204372.10,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,CDBG-Disaster Recovery
204496.00,Department of Investigation,2016,Collected Unearned Revenue Roll,2022,General Fund,OTHER CATEGORICAL,204496.00,-204496.00,Non-Governmental Grants,NONGOVT GRANTS-OTHER,PRIVATE GRANTS
30000000.00,Department of Education,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,62198645.00,-204846.00,Federal Grants-Categorical,EDUCATION,TITLE I GRANTS TO LOCAL EDUCATIONAL AGCS
30000000.00,Department of Education,2016,Unbilled Revenue,2017,General Fund,FEDERAL - OTHER,62198645.00,-204846.00,Federal Grants-Categorical,EDUCATION,TITLE I GRANTS TO LOCAL EDUCATIONAL AGCS
240000.00,Housing Preservation and Development,2016,Collected Revenue,2016,General Fund,CITY FUNDS,240000.00,-204925.00,CHARGES FOR SERVICES,GENERAL GOVERNMENTAL CHARGES,OTHER SERVICES AND FEES
3000000.00,Department of Homeless Services,2016,Billed Revenue,2017,General Fund,OTHER CATEGORICAL,3000000.00,-204958.96,Non-Governmental Grants,NONGOVT GRANTS-OTHER,NON-GOVERNMENTAL GRANTS
0.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,0.00,-205013.45,MISCELLANEOUS,MISCELLANEOUS,N.G. CHECKS
0.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2016,General Fund,STATE,3369312.00,-205024.00,State Grants-Categorical,SOCIAL SERVICES,MEDICAID-HEALTH & MEDICAL CARE
398000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,398000000.00,-205161.00,TAXES,INCOME TAXES,UTILITY TAX
1779139000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,1779139000.00,-205233.54,TAXES,GENERAL PROPERTY TAXES,REAL PROP TAX 2ND QUART
6511277.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,6378211.00,-205405.47,Federal Grants-Categorical,Health and Human Services,AIDS HIV SURVEILLANCE
0.00,Police Department,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,621656.00,-205445.00,State Grants-Categorical,MOTOR VEHICLES,STOP DRIVING WHILE INTOXICATED
10866755.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,10960951.00,-205618.46,Federal Grants-Categorical,Health and Human Services,Hospital Preparedness Program (HPP) and Public Health Emerge
0.00,Department of Social Services,2016,Collected Unearned Revenue Roll,2017,General Fund,OTHER CATEGORICAL,0.00,-205692.92,Non-Governmental Grants,NONGOVT GRANTS-OTHER,UNDISTRIB DELEG AGENCIES RECO
4234440.00,Administration for Children's Services,2016,Billed Revenue,2016,General Fund,STATE,4272721.00,-205914.00,State Grants-Categorical,SOCIAL SERVICES,MEDICAL ASSISTANCE ADMINISTRAT
5062099.00,Administration for Children's Services,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,5100441.00,-205914.00,Federal Grants-Categorical,Health and Human Services,MEDICAL ASSISTANCE PROGRAM
69622126.00,Department of Social Services,2016,Billed Revenue,2016,General Fund,STATE,69622126.00,-205917.00,State Grants-Categorical,SOCIAL SERVICES,WORK NOW
518800000.00,Department of Finance,2016,Collected Revenue,2016,General Fund,CITY FUNDS,518800000.00,-205932.08,FINES AND FOREITURES,FINES,FINES - PVB
8816000.00,Department of Health and Mental Hygiene,2016,Collected Revenue,2016,General Fund,CITY FUNDS,8816000.00,-205965.00,"LICENS. PERM. PRIV, FRANCHISES",PERMITS,PERMITS - GENERAL
47680195.00,Department of Social Services,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,47880406.00,-206046.00,Federal Grants-Categorical,Health and Human Services,TANF--EMERGENCY ASSISTANCE
0.00,Mayoralty,2016,Collected Unearned Revenue Roll,2016,General Fund,CITY FUNDS,0.00,-206082.87,TAXES,GENERAL PROPERTY TAXES,REAL PROP TAX HOLDING CODE
89510000.00,Office of Administrative Trials and Hearings,2016,Collected Revenue,2016,General Fund,CITY FUNDS,121000000.00,-206163.22,FINES AND FOREITURES,FINES,FINES - ECB
3000000.00,Housing Preservation and Development,2016,Billed Revenue,2019,General Fund,FEDERAL - OTHER,3000000.00,-206181.90,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,HOME INVESTMENT PARTNERSHIP
0.00,Department of Homeless Services,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,1117802.00,-206347.74,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,SUPPORTIVE HOUSING PROGRAM
0.00,Department of Homeless Services,2016,Accounts Left In Old Year,2017,General Fund,FEDERAL - OTHER,1117802.00,-206347.74,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,SUPPORTIVE HOUSING PROGRAM
0.00,Department of Transportation,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-206415.51,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
0.00,Department of Transportation,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,855649.00,-206415.51,Federal Grants-Categorical,TRANSPORTATION,HIGHWAY PLANNING AND CONSTRUCTION
10866755.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,10960951.00,-206553.44,Federal Grants-Categorical,Health and Human Services,Hospital Preparedness Program (HPP) and Public Health Emerge
602925335.00,Department of Social Services,2016,Billed Revenue,2018,General Fund,FEDERAL - OTHER,528141954.00,-206924.00,Federal Grants and Contracts-Categorical,Health and Human Services,TEMPORARY ASSISTANCE FOR NEEDY FAMILIES
0.00,Department of Homeless Services,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-206989.00,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
0.00,Department of Homeless Services,2016,Collected Revenue,2016,General Fund,CITY FUNDS,0.00,-206989.00,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
788059843.00,Mayoralty,2016,Billed Revenue,2016,General Fund,FEDERAL - CD,1221394497.00,-207138.84,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,CDBG-Disaster Recovery
224861780.00,Mayoralty,2016,Billed Revenue,2016,General Fund,FEDERAL - CD,227034532.00,-207153.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,COMMUNITY DEVELOPMENT BLOCK GRANTS
0.00,District Attorney -Kings County,2016,Collected Revenue,2016,General Fund,STATE,811159.00,-207195.03,State Grants-Categorical,CRIMINAL JUSTICE,CRIMES AGAINST REVENUES
0.00,Miscellaneous,2016,Accounts Left In Old Year,2016,General Fund,CITY FUNDS,0.00,-207195.03,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
0.00,Mayoralty,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-207343.80,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
0.00,Department of Transportation,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-207506.64,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
0.00,Department of Social Services,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-207524.00,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
9462447000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,9462447000.00,-207681.51,TAXES,GENERAL PROPERTY TAXES,REAL PROP TAX 1ST QUART
788059843.00,Mayoralty,2016,Billed Revenue,2016,General Fund,FEDERAL - CD,1201496644.00,-207687.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,CDBG-Disaster Recovery
25714499.00,Department of Education,2016,Billed Revenue,2016,General Fund,STATE,25714499.00,-207718.65,State Grants-Categorical,EDUCATION,ACADEMIC IMPROVEMENT
25714499.00,Department of Education,2016,Billed Revenue,2016,General Fund,STATE,25714499.00,-207718.65,State Grants-Categorical,EDUCATION,ACADEMIC IMPROVEMENT
0.00,Department of Social Services,2016,Collected Unearned Revenue Roll,2017,General Fund,OTHER CATEGORICAL,0.00,-207747.90,Non-Governmental Grants,NONGOVT GRANTS-OTHER,UNDISTRIB DELEG AGENCIES RECO
0.00,Miscellaneous,2016,Accounts Left In Old Year,2016,General Fund,CITY FUNDS,0.00,-207783.00,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
0.00,Miscellaneous,2016,Accounts Left In Old Year,2016,General Fund,CITY FUNDS,0.00,-207783.00,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
26963459.00,City University of New York,2016,Billed Revenue,2016,General Fund,CITY FUNDS,27857492.00,-207783.00,CHARGES FOR SERVICES,GENERAL GOVERNMENTAL CHARGES,HIGHER EDUC SER/FEES COMM COLL
0.00,Miscellaneous,2016,Accounts Left In Old Year,2016,General Fund,CITY FUNDS,0.00,-207783.00,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
0.00,Miscellaneous,2016,Accounts Left In Old Year,2016,General Fund,CITY FUNDS,0.00,-207783.00,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
26963459.00,City University of New York,2016,Billed Revenue,2016,General Fund,CITY FUNDS,26963459.00,-207783.00,CHARGES FOR SERVICES,GENERAL GOVERNMENTAL CHARGES,HIGHER EDUC SER/FEES COMM COLL
26963459.00,City University of New York,2016,Collected Revenue,2016,General Fund,CITY FUNDS,26963459.00,-207783.00,CHARGES FOR SERVICES,GENERAL GOVERNMENTAL CHARGES,HIGHER EDUC SER/FEES COMM COLL
0.00,Police Department,2016,Billed Revenue,2018,General Fund,STATE,44106461.00,-207785.05,State Grants and Contracts-Categorical,CRIMINAL JUSTICE,FORFEITURE LAW ENFORCEMENT
0.00,Police Department,2016,Collected Revenue,2017,General Fund,STATE,44106461.00,-207785.05,State Grants-Categorical,CRIMINAL JUSTICE,FORFEITURE LAW ENFORCEMENT
1947278.00,Department of Social Services,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,1947298.00,-207804.00,Federal Grants-Categorical,AGRICULTURE,TRAINING
-477000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,-414323000.00,-207813.33,TAXES,INCOME TAXES,REFUNDS OF GENERAL CORP TAX
-477000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,-414323000.00,-207813.33,TAXES,INCOME TAXES,REFUNDS OF GENERAL CORP TAX
17500000.00,Department of Education,2016,Billed Revenue,2016,General Fund,STATE,17500000.00,-207843.38,State Grants-Categorical,EDUCATION,SPECIAL GRANTS-MISCELLANEOUS
0.00,Department of Parks and Recreation,2016,Collected Unearned Revenue Roll,2018,General Fund,OTHER CATEGORICAL,67756.00,-207910.58,Non-Governmental Grants,NONGOVT GRANTS-OTHER,PARKS RECREATION AND CONSERVATION
7679204.00,Department of Transportation,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,7679204.00,-207960.00,Federal Grants-Categorical,TRANSPORTATION,QUEENSBOROUGH BRIDGE
7679204.00,Department of Transportation,2016,Collected Revenue,2016,General Fund,FEDERAL - OTHER,7679204.00,-207960.00,Federal Grants-Categorical,TRANSPORTATION,QUEENSBOROUGH BRIDGE
7679204.00,Department of Transportation,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,7679204.00,-207960.00,Federal Grants-Categorical,TRANSPORTATION,QUEENSBOROUGH BRIDGE
0.00,Miscellaneous,2016,Accounts Left In Old Year,2016,General Fund,CITY FUNDS,0.00,-207968.00,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
931020.00,Department of Health and Mental Hygiene,2016,Collected Unearned Revenue Roll,2018,General Fund,STATE,1064111.00,-207979.83,State Grants and Contracts-Categorical,MENTAL HEALTH,MENTAL H ALT TO INCARCERATION
9493191.00,Department of Small Business Services,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,9493191.00,-207999.82,Federal Grants-Categorical,LABOR,W.I.A.  DISLOCATED WORKERS
2129000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,2167000000.00,-208000.00,TAXES,INCOME TAXES,UNINCORPORATED BUSINESS INC TX
976000.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,976000.00,-208025.01,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
0.00,Department of Citywide Administrative Services,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-208282.48,State Grants-Categorical,JUDICIARY,COURT OPERATION + MAINTENANCE
1433000.00,Department of Citywide Administrative Services,2016,Collected Revenue,2017,General Fund,STATE,2986700.00,-208282.48,State Grants-Categorical,JUDICIARY,COURT INTEREST REIMBURSEMENT
1433000.00,Department of Citywide Administrative Services,2016,Billed Revenue,2016,General Fund,STATE,2986700.00,-208282.48,State Grants-Categorical,JUDICIARY,COURT INTEREST REIMBURSEMENT
