"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"2589","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","950970.88","Billed Revenue"
"2590","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2016","15332305","13336729","902041.63","Collected Revenue"
"2591","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","898411.48","Collected Revenue"
"2592","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","898411.48","Billed Revenue"
"2593","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","870473.5","Collected Revenue"
"2594","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","870473.5","Billed Revenue"
"2595","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2015","2016","3930745","5205428","850177","Collected Revenue"
"2596","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2015","2016","3930745","5205428","850177","Billed Revenue"
"2597","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2015","2015","3930745","5205428","834720","Collected Revenue"
"2598","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2015","2015","3930745","5205428","834720","Billed Revenue"
"2599","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2015","2015","3930745","5205428","834240","Collected Revenue"
"2600","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2015","2015","3930745","5205428","834240","Billed Revenue"
"2601","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","828620.01","Collected Revenue"
"2602","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","828620.01","Billed Revenue"
"2603","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","15861831","796573","Billed Revenue"
"2604","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","796153.96","Collected Revenue"
"2605","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","796153.96","Billed Revenue"
"2606","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","781906.79","Collected Revenue"
"2607","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","781906.79","Billed Revenue"
"2608","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","771608.68","Collected Revenue"
"2609","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","771608.68","Billed Revenue"
"2610","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2016","15332305","13352351","740712.41","Collected Revenue"
"2611","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","740712.41","Billed Revenue"
"2612","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","28576101","32543537","722832.71","Collected Revenue"
"2613","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","676350.07","Collected Revenue"
"2614","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","676350.07","Billed Revenue"
"2615","Department of Youth and Community Development","CHARGES FOR SERVICES","SOCIAL SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2015","2015","624260","624260","624260","Collected Revenue"
"2616","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","28576101","32543537","607039.95","Collected Revenue"
"2617","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","596664.63","Collected Revenue"
"2618","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","596664.63","Billed Revenue"
"2619","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2015","2015","24702998","24702998","589677.42","Collected Revenue"
"2620","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2015","2015","2880847","2461132","584967.76","Collected Revenue"
"2621","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2015","2015","2880847","2461132","584967.76","Billed Revenue"
"2622","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","561507.91","Collected Revenue"
"2623","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","561507.91","Billed Revenue"
"2624","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","560899.27","Collected Revenue"
"2625","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","560899.27","Billed Revenue"
"2626","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2016","10669854","7038463","556340.92","Collected Revenue"
"2627","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","556340.92","Billed Revenue"
"2628","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2015","2015","2880847","2461132","526578.49","Collected Revenue"
"2629","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2015","2015","2880847","2461132","526578.49","Billed Revenue"
"2630","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2015","2015","571614","565729","488060","Collected Revenue"
"2631","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2015","2015","571614","565729","488060","Billed Revenue"
"2632","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2015","2015","2880847","2461132","478793.28","Collected Revenue"
"2633","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2015","2015","2880847","2461132","478793.28","Billed Revenue"
"2634","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2015","2016","2880847","2461132","464983.47","Collected Revenue"
"2635","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2015","2015","2880847","2461132","464983.47","Billed Revenue"
"2636","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","447328.42","Collected Revenue"
"2637","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","447328.42","Billed Revenue"
"2638","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","28576101","32543537","446254.78","Accounts Left In Old Year"
"2639","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","445674.65","Collected Revenue"
"2640","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","445674.65","Billed Revenue"
"2641","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2015","2015","24702998","25095646","408755.46","Collected Revenue"
"2642","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","403993.24","Collected Revenue"
"2643","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","403993.24","Billed Revenue"
"2644","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","393884.83","Collected Revenue"
"2645","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","393884.83","Billed Revenue"
"2646","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2016","10669854","7047250","393131.18","Collected Revenue"
"2647","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","393131.18","Billed Revenue"
"2648","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","9166160","384405.56","Billed Revenue"
"2649","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2015","2015","2880847","2880847","358409.8","Billed Revenue"
"2650","Department of Youth and Community Development","CHARGES FOR SERVICES","SOCIAL SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2015","2015","0","308356","308356","Collected Revenue"
"2651","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","293372.46","Collected Revenue"
"2652","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","293372.46","Billed Revenue"
"2653","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2015","2015","0","1844939","250000","Collected Unearned Revenue Roll"
"2654","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","225672.82","Collected Revenue"
"2655","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","225672.82","Billed Revenue"
"2656","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","220600.53","Collected Revenue"
"2657","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","220600.53","Billed Revenue"
"2658","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","201843.45","Collected Revenue"
"2659","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","201843.45","Billed Revenue"
"2660","Department of Youth and Community Development","State Grants-Categorical","RUNAWAY & HOMELESS YOUTH","General Fund","STATE","YOUTH","2015","2015","172765","178651","197951","Collected Revenue"
"2661","Department of Youth and Community Development","State Grants-Categorical","RUNAWAY & HOMELESS YOUTH","General Fund","STATE","YOUTH","2015","2015","172765","178651","197951","Billed Revenue"
"2662","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","195976.48","Collected Revenue"
"2663","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","195976.48","Billed Revenue"
"2664","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","194166.5","Collected Revenue"
"2665","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","194166.5","Billed Revenue"
"2666","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2015","2015","0","1844939","181636.71","Collected Unearned Revenue Roll"
"2667","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2015","2015","0","1844939","181636.71","Collected Revenue"
"2668","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2015","2015","0","1844939","181636.71","Billed Revenue"
"2669","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2016","15332305","13352351","181223.61","Collected Revenue"
"2670","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","181223.61","Billed Revenue"
"2671","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","178117.88","Collected Revenue"
"2672","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","178117.88","Billed Revenue"
"2673","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","169780.84","Collected Revenue"
"2674","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","169780.84","Billed Revenue"
"2675","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","28576101","32543537","163975.46","Collected Revenue"
"2676","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2016","28576101","32543537","163975.46","Billed Revenue"
"2677","Department of Youth and Community Development","CHARGES FOR SERVICES","SOCIAL SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2015","2015","0","467818","159462","Collected Revenue"
"2678","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2016","15332305","13336729","151874.38","Collected Revenue"
"2679","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","151874.38","Billed Revenue"
"2680","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","148988.71","Collected Revenue"
"2681","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","148988.71","Billed Revenue"
"2682","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","143350.56","Collected Revenue"
"2683","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","143350.56","Billed Revenue"
"2684","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","142592.88","Collected Revenue"
"2685","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","142592.88","Billed Revenue"
"2686","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2015","2016","2880847","2420333","136000","Collected Revenue"
"2687","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2015","2015","2880847","2461132","136000","Billed Revenue"
"2688","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","128162.77","Collected Revenue"
"2689","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","128162.77","Billed Revenue"
"2690","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","28576101","30511937","127104.09","Collected Revenue"
"2691","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","28576101","30511937","127104.09","Billed Revenue"
"2692","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2015","2016","3930745","5205428","125000","Collected Revenue"
"2693","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2015","2016","3930745","5205428","125000","Collected Revenue"
"2694","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2015","2016","3930745","5205428","125000","Billed Revenue"
"2695","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2015","2016","3930745","5205428","125000","Billed Revenue"
"2696","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2015","2015","3930745","5205428","125000","Collected Revenue"
"2697","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2015","2015","3930745","5205428","125000","Collected Revenue"
"2698","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2015","2015","3930745","5205428","125000","Billed Revenue"
"2699","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2015","2015","3930745","5205428","125000","Billed Revenue"
"2700","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","120581.61","Collected Revenue"
"2701","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","120581.61","Billed Revenue"
"2702","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","116978.98","Collected Revenue"
"2703","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","116978.98","Billed Revenue"
"2704","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","15861831","115543.79","Billed Revenue"
"2705","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2016","10669854","7038463","112587.61","Collected Revenue"
"2706","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7038463","112587.61","Unbilled Revenue"
"2707","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2016","15332305","13352351","109776.27","Collected Revenue"
"2708","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","109776.27","Billed Revenue"
"2709","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","107437.74","Collected Revenue"
"2710","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","107437.74","Billed Revenue"
"2711","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","104932.97","Collected Revenue"
"2712","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","104932.97","Billed Revenue"
"2713","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13336729","104730.96","Unbilled Revenue"
"2714","Department of Youth and Community Development","Federal Grants-Categorical","EMERGENCY SHELTER GRANTS PROGRAM","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2015","2016","0","98217","98217","Accounts Left In Old Year"
"2715","Department of Youth and Community Development","Federal Grants-Categorical","EMERGENCY SHELTER GRANTS PROGRAM","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2015","2015","0","98217","98217","Unbilled Revenue"
"2716","Department of Youth and Community Development","Federal Grants-Categorical","EMERGENCY SHELTER GRANTS PROGRAM","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2015","2015","0","98217","98217","Unbilled Revenue"
"2717","Department of Youth and Community Development","Federal Grants-Categorical","EMERGENCY SHELTER GRANTS PROGRAM","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2015","2016","0","98217","98216.41","Collected Revenue"
"2718","Department of Youth and Community Development","Federal Grants-Categorical","EMERGENCY SHELTER GRANTS PROGRAM","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2015","2016","0","98217","98216.41","Billed Revenue"
"2719","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2015","2015","24702998","24702998","97212.63","Collected Revenue"
"2720","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2015","2015","28576101","30511937","96827.39","Collected Revenue"
"2721","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","95959.39","Collected Revenue"
"2722","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","95959.39","Billed Revenue"
"2723","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","90812.98","Collected Revenue"
"2724","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","90812.98","Billed Revenue"
"2725","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","87847.66","Collected Revenue"
"2726","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","87847.66","Billed Revenue"
"2727","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2016","15332305","13336729","82946.98","Collected Revenue"
